objectid,latitude,longitude,port_name,kode,fcode,srs_id,lcode,metadata,tipe_pp,nama_pp,alamat,kodepos,prov,kabkot,kd_prov,kd_kabkot,notelp,surel,sk_tap_rip,sk_tap_lok,izin_bng,thn_bng,izin_kmb,thn_kmb,izin_ops,thn_ops,aset,nilai_aset,stat_ops,klspel,stat_jln,kls_jln,pnj_jln,stat_rel,jml_pns,tipe_opera,operator,lintas,jns_kpl,hirrki,jml_dmg,pnj_dmg,dlm_klm,bbt_kapal,ls_lap_pmp,term_pnp,ls_trm_pnp,term_ptk,ls_trm_ptk,term_crhc,ls_crhc,term_crhk,ls_crhk,kap_lay_brg,ls_gdng_l1,ls_gdng_gp,ls_gdng_sc,ls_gdng_fd,ls_gdng_bd,ls_gdng_cd,ls_gdng_b3,ls_gdng_en,jml_bunker,kap_bunker,ls_kantor,ls_dag,kap_park,ls_park,ls_drh_krj_drt,ls_bng,ls_drh_krj_air,ls_drh_kep,remark,hirarki_p,kode_hirarki
308,0.11502975,117.4921875,Tanjung Laut  ,TLA,CB01050400,WGS1984,,Peta Sebaran Pelabuhan Umum skala 1:50.000.xml,Unit Penyelenggara Pelabuhan,Kantor Unit Penyelenggara Pelabuhan Kelas I Tanjung Laut,Jl. Pelabuahan No.28 Rt.10 Tanjung Laut Indah Bontang Kalimantan Timur 75321,,Kalimantan Timur,Bontang  ,64,64.74,,,,,,,,,,,,,Operasi,1,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelabuhan Pengumpan,PP
43,-2.18620097,99.7314127,Siuban  ,SIUB,CB01050400,WGS1984,,Peta Sebaran Pelabuhan Umum skala 1:50.000.xml,0,0,MENTAWAI,,Sumatera Barat,Kepulauan Mentawai ,13,13.09,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelabuhan Pengumpan Regional,PR
196,-8.16087154,114.4369233,Gilimanuk   ,GIL,CB01050400,WGS1984,,Peta Sebaran Pelabuhan Umum skala 1:50.000.xml,0,0,"Jl. Parkir Manauver No. 5 Gilimanuk Kab. Jembrana, Bali - 82253",,Bali,Jembrana  ,51,51.01,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelabuhan Pengumpan Regional,PR
319,0.80875699,124.6593899,Kotabunan ,IKD,CB01050400,WGS1984,,Peta Sebaran Pelabuhan Umum skala 1:50.000.xml,0,0,Jl. KomPulau Pelabuhan Kotabaru Kec. Kotabunan Kab. Bomlang Kotabunan Sulut 95782,, Sulawesi Utara,Bolaang Mongondow Timur,71,71.1,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelabuhan Lokal,PL
332,4.43207898,125.6897732,Matutuang,MTT,CB01050400,WGS1984,,Peta Sebaran Pelabuhan Umum skala 1:50.000.xml,0,0,Jl.Pelabuhan Tahuna No.1 Kab .Kepl.Sangihe Tahuna Sulawesi Utara 95851,, Sulawesi Utara,Kepulauan Sangihe ,71,71.03,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelabuhan Lokal,PL
535,-7.65751425,126.8026854,Arwala/ Sutilarang,ASG,CB01050400,WGS1984,,Peta Sebaran Pelabuhan Umum skala 1:50.000.xml,0,0,Jl. Pelabuhan Wonreli Maluku 97653,,Maluku,Maluku Barat Daya,81,81.08,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelabuhan Lokal,PL
282,-2.29758902,113.908016,Kereng Bengkirai  ,KBE,CB01050400,WGS1984,,Peta Sebaran Pelabuhan Umum skala 1:50.000.xml,0,0,Jl. Matal No. 18 Kereng Bengkirai Palangkaraya Kalteng 73111,,Kalimantan Tengah,Palangkaraya  ,62,62.71,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelabuhan Lokal,PL
58,1.004511,103.3537,Parit Rempak  ,PTK,CB01050400,WGS1984,,Peta Sebaran Pelabuhan Umum skala 1:50.000.xml,0,0,-,,Kepulauan Riau,Karimun  ,21,21.02,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelabuhan Lokal,PL
104,-1.0870972,104.1928101,Nipah Panjang,NIJ,CB01050400,WGS1984,,Peta Sebaran Pelabuhan Umum skala 1:50.000.xml,Unit Penyelenggara Pelabuhan,Kantor Unit Penyelenggara Pelabuhan Kelas II Nipah Panjang,Jl. Pelabuhan No. 1 Kec. Nipah Panjang Kab. Tanjung Jabung Timur Jambi 36571,,Jambi,Tanjung Jabung Timur,15,15.07,,,,,,,,,,,,,Operasi,1,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelabuhan Pengumpan Regional,PR
263,-1.102478,109.9620361,Teluk Melano/ Teluk Batang,TMO,CB01050400,WGS1984,,Peta Sebaran Pelabuhan Umum skala 1:50.000.xml,Unit Penyelenggara Pelabuhan,Kantor Unit Penyelenggara Pelabuhan Kelas III Teluk Melano,"Jl. Gusti Aplos No. 93 Rt.8/Rw,III Kalbar 78853",,Kalimantan Barat,Kayong Utara ,61,61.11,,,,,,,,,,,,,Operasi,1,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelabuhan Pengumpan,PP
